_record_id,_title,_server_updated_at,_project,_assigned_to,_updated_by,_geometry,_latitude,_longitude,what_is_the_name_of_public_art,where_is_it_located,when_is_it_built,what_color_is_it,what_do_you_think_is_it_made_of_,if_you_selected_other_what_do_you_think_is_it_made_of_,how_big_is_it,how_does_it_lookupload_picture
0902a938-bae7-4528-8199-d070ac3a1963,Vertabrae,2018-02-21 22:43:55 PST,,Sunghwan Park,Sunghwan Park,SRID=4326;POINT(-122.333283 47.606388),47.606388,-122.333283,Vertabrae,Safeco Plaza Seattle,,Brown,Metal,,Medium,
f982d9ec-5773-4ad8-b70c-331d74d90703,The Fremont Troll,2018-02-21 22:42:58 PST,,Sunghwan Park,Sunghwan Park,SRID=4326;POINT(-122.3458387 47.649772),47.649772,-122.3458387,The Fremont Troll,Fremont Seattle,,Grey,Wood,,Large,
ad30d856-7961-44fe-bc71-f35215e1e756,Statue of Lenin,2018-02-21 22:42:43 PST,,Sunghwan Park,Sunghwan Park,SRID=4326;POINT(-122.3531972 47.6513919),47.6513919,-122.3531972,Statue of Lenin,Fremont Seattle,,Brown,Bronze,,Medium,
99dcd692-9e19-4d62-a29a-4cd95e2b5495,Gas Work Park Sundial,2018-02-21 22:42:09 PST,,Sunghwan Park,Sunghwan Park,SRID=4326;POINT(-122.33442629 47.6466855),47.6466855,-122.3344263,Gas Work Park Sundial,Gas Work Park Seattle,,Grey,Metal,,Large,
2c7abe3d-40ba-48e4-8066-a75f62e93686,Rachel the Piggy Bank,2018-02-21 22:41:41 PST,,Sunghwan Park,Sunghwan Park,SRID=4326;POINT(-122.3402722 47.6076576),47.6076576,-122.3402722,Rachel the Piggy Bank,Pike Place Market Seattle,,Gold ,Metal,,Small,
88ac906d-9006-4028-bcf4-0af1a4c0a348,Angis Unbrella,2018-02-21 22:41:26 PST,,Sunghwan Park,Sunghwan Park,SRID=4326;POINT(-122.345318 47.61120939),47.61120939,-122.345318,Angis Unbrella,Pike Place  Market Seattle,,Red and grey,Metal,,Medium,
cf15ff05-79d8-4196-b532-c5541844d0e9,360 Beacon,2018-02-21 22:40:46 PST,,Sunghwan Park,Sunghwan Park,SRID=4326;POINT(-122.345318 47.6112095),47.6112095,-122.345318,360 Beacon,Pioneer Square Seattle,,Brown,Wood,,Small,
f83a1d40-95be-4ebc-8dac-105497fbe516,Walking on Logs,2018-02-21 22:39:09 PST,,Sunghwan Park,Sunghwan Park,SRID=4326;POINT(-122.3758564 47.5678038),47.5678038,-122.3758564,Walking on Logs,West Seattle,,Black,Metal,,Small,
ae1535e1-915e-4efc-98a9-ed352b01bd81,Salmon Waves,2018-02-21 22:38:35 PST,,Sunghwan Park,Sunghwan Park,SRID=4326;POINT(-122.39647839 47.6748977),47.6748977,-122.3964784,Salmon Waves,"Hiram M. Chittenden Locks, Seattle",1917,Gray,Metal,,Medium,
d53e62c8-3c88-462f-8ff8-c8685edda6fc,The Wall of Death,2018-02-21 22:37:48 PST,,Sunghwan Park,Sunghwan Park,SRID=4326;POINT(-122.3184918 47.6551318),47.6551318,-122.3184918,The Wall of Death,University District,1993,Red and silver,Metal,,Medium,
